CONSTITUENCIES,ELECTORATE,P.N.M._VOTES_%,U.N.C._VOTES_%,VOTER_TURNOUT,TOTAL_NUMBER_OF_VOTES_CAST,VALID_VOTES,Year,ELECTORAL_DISTRICT_ARIMA,ELECTORAL_DISTRICT_AROUCA/MALONEY,ELECTORAL_DISTRICT_BARATARIA/SAN JUAN,ELECTORAL_DISTRICT_CARONI CENTRAL,ELECTORAL_DISTRICT_CARONI EAST,ELECTORAL_DISTRICT_CHAGUANAS EAST,ELECTORAL_DISTRICT_CHAGUANAS WEST,ELECTORAL_DISTRICT_COUVA NORTH,ELECTORAL_DISTRICT_COUVA SOUTH,ELECTORAL_DISTRICT_CUMUTO/MANZANILLA,ELECTORAL_DISTRICT_D'ABADIE/O'MEARA,ELECTORAL_DISTRICT_DIEGO MARTIN CENTRAL,ELECTORAL_DISTRICT_DIEGO MARTIN NORTH/EAST,ELECTORAL_DISTRICT_DIEGO MARTIN WEST,ELECTORAL_DISTRICT_FYZABAD,ELECTORAL_DISTRICT_LA BREA,ELECTORAL_DISTRICT_LA HORQUETTA/TALPARO,ELECTORAL_DISTRICT_LAVENTILLE EAST/MORVANT,ELECTORAL_DISTRICT_LAVENTILLE WEST,ELECTORAL_DISTRICT_LOPINOT/BON AIR WEST,ELECTORAL_DISTRICT_MAYARO,ELECTORAL_DISTRICT_MORUGA/TABLELAND,ELECTORAL_DISTRICT_NAPARIMA,ELECTORAL_DISTRICT_OROPOUCHE EAST,ELECTORAL_DISTRICT_OROPOUCHE WEST,ELECTORAL_DISTRICT_POINT FORTIN,ELECTORAL_DISTRICT_POINTE-A-PIERRE,ELECTORAL_DISTRICT_PORT-OF-SPAIN NORTH/ST. ANN'S WEST,ELECTORAL_DISTRICT_PORT-OF-SPAIN SOUTH,ELECTORAL_DISTRICT_PRINCES TOWN,ELECTORAL_DISTRICT_SAN FERNANDO EAST,ELECTORAL_DISTRICT_SAN FERNANDO WEST,ELECTORAL_DISTRICT_SIPARIA,ELECTORAL_DISTRICT_ST. ANN'S EAST,ELECTORAL_DISTRICT_ST. AUGUSTINE,ELECTORAL_DISTRICT_ST. JOSEPH,ELECTORAL_DISTRICT_TABAQUITE,ELECTORAL_DISTRICT_TOBAGO EAST,ELECTORAL_DISTRICT_TOBAGO WEST,ELECTORAL_DISTRICT_TOCO/SANGRE GRANDE,ELECTORAL_DISTRICT_TOTAL,ELECTORAL_DISTRICT_TUNAPUNA,GDP (Per Capita US$),GNI (Per Capita US $),GNI (Percentage Change),Homicide_rate_per_100k,Homicide (Annual Percentage Change),Inflation,Unemployment,Net Migration Rate,Growth Rate,GDP_(US$),GNI (Per Capita US $)_1t,GNI (Per Capita US $)_1y,Inflation_1t,Inflation_1y,Unemployment_1t,Unemployment_1y,Net Migration Rate_1t,Net Migration Rate_1y,GDP (Per Capita US$)_1t,GDP (Per Capita US$)_1y,GDP_(US$)_1t,GDP_(US$)_1y,Homicide_rate_per_100k_1t,Homicide_rate_per_100k_1y
MAYARO,25401,0.435389801487506,0.4608593290170689,0.7402070784614779,18802,18689,2007,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,20207.88,14170,12.82,28.23,4.79,7.894388348,5.54,-2.814,0.75,21641620049.9352,0.7917089360007193,0.12060989266253655,0.6430297126476667,-0.05366368643823543,-0.6288493043519437,-0.12378185388563687,-0.15018302621696472,0.007490671729157659,0.8879513842201662,0.1660127742149502,0.876472136919311,0.16393419606662377,0.7987832488008525,0.04677307128318007
MORUGA/TABLELAND,25301,0.49237755433019786,0.4284246945615742,0.7354254772538635,18607,18498,2007,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,20207.88,14170,12.82,28.23,4.79,7.894388348,5.54,-2.814,0.75,21641620049.9352,0.7917089360007193,0.12060989266253655,0.6430297126476667,-0.05366368643823543,-0.6288493043519437,-0.12378185388563687,-0.15018302621696472,0.007490671729157659,0.8879513842201662,0.1660127742149502,0.876472136919311,0.16393419606662377,0.7987832488008525,0.04677307128318007
NAPARIMA,24471,0.16506849315068492,0.5900684931506849,0.6954270582190427,17595,17520,2007,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,20207.88,14170,12.82,28.23,4.79,7.894388348,5.54,-2.814,0.75,21641620049.9352,0.7917089360007193,0.12060989266253655,0.6430297126476667,-0.05366368643823543,-0.6288493043519437,-0.12378185388563687,-0.15018302621696472,0.007490671729157659,0.8879513842201662,0.1660127742149502,0.876472136919311,0.16393419606662377,0.7987832488008525,0.04677307128318007
OROPOUCHE EAST,25836,0.1645305991669337,0.5423475381822066,0.7681745739855339,18798,18726,2007,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,20207.88,14170,12.82,28.23,4.79,7.894388348,5.54,-2.814,0.75,21641620049.9352,0.7917089360007193,0.12060989266253655,0.6430297126476667,-0.05366368643823543,-0.6288493043519437,-0.12378185388563687,-0.15018302621696472,0.007490671729157659,0.8879513842201662,0.1660127742149502,0.876472136919311,0.16393419606662377,0.7987832488008525,0.04677307128318007
OROPOUCHE WEST,22513,0.2213209733487833,0.5226565835213759,0.6369794085771792,16457,16397,2007,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,20207.88,14170,12.82,28.23,4.79,7.894388348,5.54,-2.814,0.75,21641620049.9352,0.7917089360007193,0.12060989266253655,0.6430297126476667,-0.05366368643823543,-0.6288493043519437,-0.12378185388563687,-0.15018302621696472,0.007490671729157659,0.8879513842201662,0.1660127742149502,0.876472136919311,0.16393419606662377,0.7987832488008525,0.04677307128318007
POINT FORTIN,23832,0.588306323482682,0.16777883698760723,0.7011504464087416,15785,15735,2007,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,20207.88,14170,12.82,28.23,4.79,7.894388348,5.54,-2.814,0.75,21641620049.9352,0.7917089360007193,0.12060989266253655,0.6430297126476667,-0.05366368643823543,-0.6288493043519437,-0.12378185388563687,-0.15018302621696472,0.007490671729157659,0.8879513842201662,0.1660127742149502,0.876472136919311,0.16393419606662377,0.7987832488008525,0.04677307128318007
POINTE-A-PIERRE,24467,0.432365479893997,0.35655029381265124,0.7312856663309836,17428,17358,2007,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,20207.88,14170,12.82,28.23,4.79,7.894388348,5.54,-2.814,0.75,21641620049.9352,0.7917089360007193,0.12060989266253655,0.6430297126476667,-0.05366368643823543,-0.6288493043519437,-0.12378185388563687,-0.15018302621696472,0.007490671729157659,0.8879513842201662,0.1660127742149502,0.876472136919311,0.16393419606662377,0.7987832488008525,0.04677307128318007
PORT-OF-SPAIN NORTH/ST. ANN'S WEST,22164,0.6791517712057199,0.024780630484237894,0.5043528017329464,12340,12308,2007,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,20207.88,14170,12.82,28.23,4.79,7.894388348,5.54,-2.814,0.75,21641620049.9352,0.7917089360007193,0.12060989266253655,0.6430297126476667,-0.05366368643823543,-0.6288493043519437,-0.12378185388563687,-0.15018302621696472,0.007490671729157659,0.8879513842201662,0.1660127742149502,0.876472136919311,0.16393419606662377,0.7987832488008525,0.04677307128318007
PORT-OF-SPAIN SOUTH,22037,0.6743965517241379,0.048793103448275865,0.5277487861324137,11630,11600,2007,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,20207.88,14170,12.82,28.23,4.79,7.894388348,5.54,-2.814,0.75,21641620049.9352,0.7917089360007193,0.12060989266253655,0.6430297126476667,-0.05366368643823543,-0.6288493043519437,-0.12378185388563687,-0.15018302621696472,0.007490671729157659,0.8879513842201662,0.1660127742149502,0.876472136919311,0.16393419606662377,0.7987832488008525,0.04677307128318007
PRINCES TOWN,24208,0.3053074396357978,0.47432720567048925,0.7198033707865169,17425,17353,2007,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,20207.88,14170,12.82,28.23,4.79,7.894388348,5.54,-2.814,0.75,21641620049.9352,0.7917089360007193,0.12060989266253655,0.6430297126476667,-0.05366368643823543,-0.6288493043519437,-0.12378185388563687,-0.15018302621696472,0.007490671729157659,0.8879513842201662,0.1660127742149502,0.876472136919311,0.16393419606662377,0.7987832488008525,0.04677307128318007
