,Unnamed: 0,Unnamed: 1,VOTES CAST,Unnamed: 3,Unnamed: 4,POLLED,VOTES,%,VOTES.1,%.1,VOTES.2,%.2,VOTES.3,%.3,VOTES.4,%.4,VOTES.5,%.5
20,MAYARO,25401,18802,0.7402070784614779,113,18689,8137,0.435389801487506,8613,0.4608593290170689,1939,0.10375086949542511,,,,,,
21,MORUGA/TABLELAND,25301,18607,0.7354254772538635,109,18498,9108,0.49237755433019786,7925,0.4284246945615742,1465,0.07919775110822792,,,,,,
22,NAPARIMA,24471,17595,0.6954270582190427,75,17520,2892,0.16506849315068492,10338,0.5900684931506849,4290,0.24486301369863014,,,,,,
23,OROPOUCHE EAST,25836,18798,0.7681745739855339,72,18726,3081,0.1645305991669337,10156,0.5423475381822066,5489,0.29312186265085977,,,,,,
24,OROPOUCHE WEST,22513,16457,0.6369794085771792,60,16397,3629,0.2213209733487833,8570,0.5226565835213759,4198,0.25602244312984085,,,,,,
25,POINT FORTIN,23832,15785,0.7011504464087416,50,15735,9257,0.588306323482682,2640,0.16777883698760723,3838,0.24391483952971083,,,,,,
26,POINTE-A-PIERRE,24467,17428,0.7312856663309836,70,17358,7505,0.432365479893997,6189,0.35655029381265124,3664,0.21108422629335177,,,,,,
27,PORT-OF-SPAIN NORTH/ST. ANN'S WEST,22164,12340,0.5043528017329464,32,12308,8359,0.6791517712057199,305,0.024780630484237894,3644,0.29606759831004226,,,,,,
28,PORT-OF-SPAIN SOUTH,22037,11630,0.5277487861324137,30,11600,7823,0.6743965517241379,566,0.048793103448275865,3141,0.27077586206896553,,,,,70.0,0.00603448275862069
29,PRINCES TOWN,24208,17425,0.7198033707865169,72,17353,5298,0.3053074396357978,8231,0.47432720567048925,3824,0.2203653546937129,,,,,,
30,SAN FERNANDO EAST,22097,15047,0.6809521654523238,43,15004,10320,0.6878165822447347,1630,0.10863769661423621,3054,0.20354572114102906,,,,,,
31,SAN FERNANDO WEST,21035,14683,0.698027097694319,55,14628,7371,0.5038966365873667,2306,0.15764287667487012,4951,0.3384604867377632,,,,,,
32,SIPARIA,25667,18272,0.7118868586122258,105,18167,4678,0.2574998623878461,10323,0.5682281059063137,3166,0.17427203170584027,,,,,,
33,ST. ANN'S EAST,25495,14389,0.5643851735634439,74,14315,10008,0.6991267900803353,1060,0.07404820118756548,3247,0.2268250087320992,,,,,,
34,ST. AUGUSTINE,24414,17818,0.7298271483574998,40,17778,4309,0.2423782202722466,7043,0.3961637979525256,6426,0.3614579817752278,,,,,,
35,ST. JOSEPH,24932,17092,0.6855446815337719,47,17045,7969,0.4675271340569082,4932,0.2893517160457612,4144,0.2431211498973306,,,,,,
36,TABAQUITE,25720,18620,0.723950233281493,81,18539,5541,0.2988834349209774,7206,0.3886941043206214,5792,0.3124224607584012,,,,,,
37,TOBAGO EAST,19320,15583,0.8065734989648033,67,15516,5684,0.3663315287445218,4703,0.2434265010351967,237,0.015274555297757154,4703.0,0.3031064707398814,148.0,0.009538540861046661,41.0,0.0026424336169115752
38,TOBAGO WEST,21936,15932,0.7262946754194018,29,15903,6850,0.4307363390555241,4176,0.19037199124726478,471,0.029617053386153554,4176.0,0.26259196378041877,230.0,0.014462679997484752,,
